CID,Type,Impact,First Detected,Owner,Classification,Severity,Action,Component,Category
448746,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448745,JSON Web Token decoded without signature verification,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448744,Reverse tabnabbing,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448743,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448742,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448741,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448740,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448739,Unsafe output of data into innerHtml,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448738,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448737,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448736,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448735,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448734,Property access or function call before check for null or undefined,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences
448733,Missing TLS,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448732,File upload with unrestricted filesize,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448731,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448730,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448729,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448728,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448727,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448725,Container privilege escalation allowed,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448724,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448723,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448722,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448721,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448720,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448719,Missing rate limiting,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
